"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"addTocart -> check the badge","8718","check the cart badge","chromium","Tue Jul 29 21:24:56 IDT 2025","passed","Tue Jul 29 21:25:04 IDT 2025","","inventory.spec.ts","",""
"","2789","Login with invalid credentials shows error","chromium","Tue Jul 29 21:25:07 IDT 2025","passed","Tue Jul 29 21:25:10 IDT 2025","","login.spec.ts","",""
"addTocart -> gotoCart -> click on continueShopping","9808","contineShoppingTest","chromium","Tue Jul 29 21:24:55 IDT 2025","passed","Tue Jul 29 21:25:05 IDT 2025","cart flows","cart.spec.ts","",""
"choose correct direction -> check if the change worked -> check that the first item is the right one","9200","inventory Direction","chromium","Tue Jul 29 21:24:55 IDT 2025","passed","Tue Jul 29 21:25:04 IDT 2025","","inventory.spec.ts","",""
"","3188","contineShoppingTest","chromium","Fri Jul 25 17:37:09 IDT 2025","passed","Fri Jul 25 17:37:12 IDT 2025","","cart.spec.ts","",""
"addTocart -> gotoCart -> removeFromCart","9271","removeItemFromCartTest","chromium","Tue Jul 29 21:24:55 IDT 2025","passed","Tue Jul 29 21:25:04 IDT 2025","cart flows","cart.spec.ts","",""
"","1694","check title of google.com","chromium","Mon Jul 14 22:53:48 IDT 2025","passed","Mon Jul 14 22:53:50 IDT 2025","","amazon-cart.spec.ts","",""
"","3226","removeItemFromCartTest","chromium","Sat Jul 26 12:19:54 IDT 2025","passed","Sat Jul 26 12:19:57 IDT 2025","","cart.spec.ts","",""
"addTocart -> gotoCart -> removeFromCart","6333","checkOutTest","chromium","Tue Jul 29 21:24:55 IDT 2025","passed","Tue Jul 29 21:25:01 IDT 2025","cart flows","cart.spec.ts","",""
"","2970","Inventory Page Test","chromium","Sat Jul 12 12:02:55 IDT 2025","passed","Sat Jul 12 12:02:58 IDT 2025","","inventory.spec.ts","",""
"addTocart -> check the badge","8602","add To Cart","chromium","Tue Jul 29 21:24:55 IDT 2025","passed","Tue Jul 29 21:25:04 IDT 2025","","inventory.spec.ts","",""
"","2753","checkOutTest","chromium","Fri Jul 25 19:08:21 IDT 2025","passed","Fri Jul 25 19:08:24 IDT 2025","","cart.spec.ts","",""
"addTocart -> gotoCart -> clickOnCheckOut -> fillForm -> overview -> clickOnFinish","12009","simpleEndToEndTest","chromium","Tue Jul 29 21:24:55 IDT 2025","passed","Tue Jul 29 21:25:07 IDT 2025","end to end flows","endToEndTests.spec.ts","",""
"","9315","just trying bro","chromium","Tue Jul 29 21:24:55 IDT 2025","passed","Tue Jul 29 21:25:04 IDT 2025","","deleteLater.ts.spec.ts","",""
"","2661","Login successfully","chromium","Tue Jul 29 21:25:07 IDT 2025","passed","Tue Jul 29 21:25:10 IDT 2025","","login.spec.ts","",""
"","3502","simpleEndToEndTest","chromium","Sat Jul 26 12:23:02 IDT 2025","passed","Sat Jul 26 12:23:06 IDT 2025","","endToEndTests.spec.ts","",""
